account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,latest_sub_id,latest_sub_start,latest_sub_end,current_plan,current_seats,current_mrr,is_trial_current,has_upgraded,has_downgraded,is_currently_active,current_sub_duration_days,total_subscriptions,first_sub_date,avg_mrr,max_mrr,total_mrr_paid,total_upgrades,total_downgrades,churn_count,latest_churn_date,primary_churn_reason,all_churn_feedback,total_tickets,high_priority_tickets,avg_resolution_hours,avg_satisfaction,total_escalations,avg_first_response_mins,total_feature_events,total_feature_uses,total_usage_seconds,total_errors,beta_feature_uses,has_churned,customer_lifetime_days,customer_lifetime_months,cohort_month,ticket_intensity,error_intensity,lifetime_months_rounded,ticket_segment,engagement_level,used_beta
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-3d7bed,2024-12-22,,Basic,44,836,False,False,False,True,485,10,2024-10-20,1260.3,5771,12603,1,0,2.0,2024-12-05,budget,switched to competitor,2.0,2.0,23.0,3.0,0.0,91.0,55,535,152339,38,4,True,50,1.7,2024-10,1.1764705882352942,0.6909090909090909,2,1-2 Tickets,High (50-75%),True
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-fa8c75,2024-07-08,,Pro,18,882,False,False,False,True,652,8,2023-09-20,1250.5,5572,10004,3,0,0.0,,,,3.0,2.0,38.0,4.0,0.0,73.33333333333333,35,355,101136,14,2,False,978,32.6,2023-08,0.09202453987730061,0.4,33,3-5 Tickets,Low (Bottom 25%),True
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-9c414f,2024-12-27,2024-12-28,Pro,2,98,False,False,False,True,480,15,2024-08-31,1219.0666666666666,5771,18286,1,1,2.0,2024-12-31,features,switched to competitor | too expensive,3.0,1.0,43.666666666666664,4.666666666666667,0.0,63.666666666666664,83,821,251210,48,5,True,126,4.2,2024-08,0.7142857142857143,0.5783132530120482,4,3-5 Tickets,Power User (Top 25%),True
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,S-fccc09,2024-12-20,,Pro,24,1176,False,True,False,True,487,7,2023-12-04,1325.0,4776,9275,2,0,1.0,2024-11-08,support,missing features,2.0,1.0,29.0,,0.0,174.0,41,382,102528,21,5,True,439,14.6,2023-08,0.136986301369863,0.5121951219512195,15,1-2 Tickets,Medium (25-50%),True
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,S-79d1e0,2024-12-31,2024-12-31,Enterprise,109,21691,False,False,False,False,0,9,2024-10-28,5417.888888888889,21691,48761,2,0,1.0,2024-12-28,budget,too expensive,7.0,4.0,42.285714285714285,3.8,1.0,107.85714285714286,58,579,215779,31,4,True,62,2.1,2024-10,3.333333333333333,0.5344827586206896,2,6+ Tickets,High (50-75%),True
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,S-afa7a7,2024-10-03,2024-08-12,Enterprise,25,0,True,False,False,True,565,11,2023-12-01,1528.1818181818182,6965,16810,0,0,3.0,2024-11-16,unknown,too expensive | switched to competitor,4.0,3.0,43.0,3.0,0.0,74.75,47,457,140541,21,6,True,401,13.4,2023-10,0.29850746268656714,0.44680851063829785,13,3-5 Tickets,Medium (25-50%),True
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,S-d26ff6,2024-12-01,,Enterprise,26,5174,False,False,False,True,506,9,2024-03-16,1848.111111111111,5174,16633,0,0,0.0,,,,6.0,2.0,39.166666666666664,3.8,3.0,89.83333333333333,39,373,116964,14,3,False,774,25.8,2024-03,0.23255813953488372,0.358974358974359,26,6+ Tickets,Medium (25-50%),True
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,S-7b211a,2024-11-10,2024-05-03,Pro,32,1568,False,False,False,True,527,10,2023-05-11,1304.8,4179,13048,0,0,2.0,2024-05-11,competitor,switched to competitor,3.0,2.0,42.666666666666664,,0.0,57.0,41,382,111506,23,5,True,392,13.1,2023-04,0.22900763358778625,0.5609756097560976,13,3-5 Tickets,Medium (25-50%),True
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,S-31d765,2024-12-04,,Pro,12,0,True,True,False,True,503,10,2024-09-10,2305.7,13333,23057,1,0,3.0,2024-12-27,budget,switched to competitor | missing features,4.0,4.0,32.5,3.6666666666666665,0.0,75.25,48,472,145429,29,5,True,108,3.6,2024-09,1.1111111111111112,0.6041666666666666,4,3-5 Tickets,Medium (25-50%),True
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,S-6eb56d,2024-09-14,2024-01-21,Pro,34,1666,False,False,False,True,584,6,2023-05-12,1464.5,3383,8787,1,0,0.0,,,,3.0,2.0,31.333333333333332,3.5,0.0,71.33333333333333,27,257,73818,14,2,False,1079,36.0,2023-05,0.08333333333333333,0.5185185185185185,36,3-5 Tickets,Low (Bottom 25%),True
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,S-0c63de,2024-12-31,2024-12-03,Pro,18,882,False,False,False,True,476,19,2024-09-26,1714.2631578947369,8358,32571,1,1,1.0,2024-10-04,support,switched to competitor,3.0,1.0,32.666666666666664,5.0,0.0,80.66666666666667,101,1053,326283,55,13,True,9,0.3,2024-09,10.0,0.5445544554455446,0,3-5 Tickets,Power User (Top 25%),True
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,S-7cd9fa,2024-12-29,,Basic,59,1121,False,False,False,True,478,10,2024-11-09,4324.7,11741,43247,1,0,0.0,,,,2.0,2.0,20.5,5.0,0.0,125.5,55,562,150186,22,5,False,529,17.6,2024-11,0.11363636363636363,0.4,18,1-2 Tickets,High (50-75%),True
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,S-4fc62f,2024-12-12,2024-11-01,Enterprise,7,0,True,False,False,True,495,12,2023-04-30,1353.5,12139,16242,2,0,0.0,,,,3.0,2.0,40.333333333333336,5.0,1.0,68.33333333333333,64,670,217275,30,10,False,1103,36.8,2023-04,0.08152173913043478,0.46875,37,3-5 Tickets,Power User (Top 25%),True
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,S-82c91a,2024-12-10,2024-12-12,Pro,30,1470,False,False,False,True,497,12,2024-01-16,1952.6666666666667,10348,23432,1,2,1.0,2024-05-17,competitor,missing features,4.0,3.0,26.75,4.0,0.0,95.0,69,642,159561,26,8,True,123,4.1,2024-01,0.9756097560975611,0.37681159420289856,4,3-5 Tickets,Power User (Top 25%),True
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,S-f2ccdd,2024-12-30,2024-12-22,Enterprise,32,6368,False,False,False,True,477,13,2024-12-01,2262.076923076923,10945,29407,0,1,2.0,2024-12-30,budget,too expensive | missing features,2.0,1.0,50.5,3.0,0.0,118.0,70,658,173232,49,8,True,30,1.0,2024-11,2.0,0.7,1,1-2 Tickets,Power User (Top 25%),True
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,S-049667,2024-07-03,2024-10-20,Basic,28,532,False,True,False,True,657,8,2023-09-27,3468.25,14129,27746,2,0,2.0,2024-10-01,competitor,too expensive | switched to competitor,2.0,1.0,24.5,4.0,0.0,30.5,54,531,170826,42,7,True,389,13.0,2023-09,0.15384615384615385,0.7777777777777778,13,1-2 Tickets,High (50-75%),True
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,S-3eb56d,2024-12-31,,Pro,15,735,False,False,False,True,476,7,2024-12-09,1895.142857142857,8358,13266,0,0,1.0,2024-12-30,features,,6.0,2.0,50.166666666666664,4.25,1.0,94.83333333333333,37,367,106259,13,3,True,25,0.8,2024-12,7.5,0.35135135135135137,1,6+ Tickets,Low (Bottom 25%),True
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,S-2f138c,2024-07-27,,Pro,29,1421,False,False,False,True,633,6,2023-08-24,1976.3333333333333,7363,11858,0,0,0.0,,,,6.0,2.0,41.666666666666664,3.5,0.0,79.16666666666667,46,494,133559,19,6,False,972,32.4,2023-08,0.1851851851851852,0.41304347826086957,32,6+ Tickets,Medium (25-50%),True
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,S-a3791c,2024-12-17,,Enterprise,18,3582,False,False,False,True,490,9,2023-04-11,1627.3333333333333,3582,14646,0,1,0.0,,,,5.0,1.0,36.0,3.6,0.0,59.0,43,427,137244,18,9,False,1139,38.0,2023-03,0.13157894736842105,0.4186046511627907,38,3-5 Tickets,Medium (25-50%),True
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,S-460deb,2024-11-27,,Enterprise,22,4378,False,True,False,True,510,8,2024-01-02,1162.375,4378,9299,3,0,2.0,2024-09-15,pricing,too expensive | switched to competitor,3.0,1.0,26.0,4.0,1.0,108.66666666666667,49,511,157711,25,6,True,301,10.0,2023-11,0.3,0.5102040816326531,10,3-5 Tickets,Medium (25-50%),True
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,S-65731a,2024-12-15,2024-12-26,Basic,9,0,True,False,True,False,11,14,2024-04-14,846.0,2786,11844,3,1,2.0,2024-07-03,budget,too expensive | missing features,4.0,1.0,14.25,4.666666666666667,1.0,97.75,66,653,191849,44,15,True,80,2.7,2024-04,1.4814814814814814,0.6666666666666666,3,3-5 Tickets,Power User (Top 25%),True
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,S-62b4fc,2024-12-29,2024-12-24,Basic,8,152,False,False,False,True,478,8,2024-07-28,646.875,2388,5175,1,1,0.0,,,,9.0,4.0,31.333333333333332,4.0,1.0,81.88888888888889,35,337,98383,20,5,False,632,21.1,2024-07,0.42654028436018954,0.5714285714285714,21,6+ Tickets,Low (Bottom 25%),True
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,S-99efdc,2024-12-19,2024-10-26,Enterprise,17,3383,False,False,False,True,488,14,2024-08-23,2603.214285714286,15522,36445,2,0,2.0,2024-10-11,budget,switched to competitor | too expensive,3.0,1.0,31.333333333333332,3.3333333333333335,0.0,76.66666666666667,69,687,208387,37,8,True,52,1.7,2024-08,1.7647058823529411,0.5362318840579711,2,3-5 Tickets,Power User (Top 25%),True
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,S-f9ec8f,2024-10-03,,Basic,86,1634,False,False,False,True,565,8,2024-05-24,9492.25,17114,75938,0,0,1.0,2024-09-01,features,,3.0,0.0,57.666666666666664,4.0,0.0,108.33333333333333,42,402,127433,22,10,True,104,3.5,2024-05,0.8571428571428571,0.5238095238095238,4,3-5 Tickets,Medium (25-50%),True
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,S-c5f3d4,2024-11-22,,Pro,5,0,True,False,False,True,515,7,2024-10-12,516.1428571428571,1617,3613,0,1,2.0,2024-12-09,features,missing features,0.0,0.0,,,0.0,,32,324,98113,20,2,True,66,2.2,2024-10,0.0,0.625,2,No Tickets,Low (Bottom 25%),True
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,S-33598f,2024-11-09,2024-04-21,Enterprise,26,5174,False,False,False,True,528,9,2023-07-18,1129.111111111111,5174,10162,2,0,3.0,2024-04-28,budget,switched to competitor | too expensive | too expensive,5.0,3.0,34.0,4.5,0.0,59.6,47,488,150708,19,2,True,418,13.9,2023-03,0.3597122302158273,0.40425531914893614,14,3-5 Tickets,Medium (25-50%),True
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,S-c0ca82,2024-12-02,,Pro,19,931,False,False,True,True,505,9,2023-09-16,1569.0,7761,14121,0,1,0.0,,,,2.0,2.0,33.0,,0.0,120.5,58,602,171366,31,7,False,949,31.6,2023-09,0.06329113924050632,0.5344827586206896,32,1-2 Tickets,High (50-75%),True
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,S-22be2c,2024-12-15,2024-06-26,Enterprise,49,9751,False,False,False,True,492,16,2023-06-03,2027.0625,9751,32433,3,0,0.0,,,,4.0,3.0,49.75,5.0,0.0,119.0,72,791,237055,37,7,False,1089,36.3,2023-04,0.11019283746556474,0.5138888888888888,36,3-5 Tickets,Power User (Top 25%),True
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,S-9464f8,2024-10-22,2024-04-22,Basic,26,494,False,False,False,True,546,10,2023-12-26,4209.6,27064,42096,0,0,1.0,2024-07-22,unknown,switched to competitor,4.0,2.0,34.0,4.0,0.0,126.5,53,538,185729,44,6,True,268,8.9,2023-10,0.449438202247191,0.8301886792452831,9,3-5 Tickets,High (50-75%),True
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,S-d6f31b,2024-11-03,,Enterprise,20,3980,False,True,False,True,534,7,2024-01-26,1581.2857142857142,3980,11069,1,0,1.0,2024-03-04,features,missing features,2.0,0.0,61.5,3.5,0.0,27.0,33,329,105214,12,5,True,159,5.3,2023-09,0.37735849056603776,0.36363636363636365,5,1-2 Tickets,Low (Bottom 25%),True
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,S-467918,2024-12-19,,Pro,34,1666,False,False,False,True,488,10,2024-10-02,1023.6,2597,10236,2,1,1.0,2024-11-30,features,too expensive,5.0,4.0,24.8,4.0,1.0,102.8,55,540,175427,23,5,True,59,2.0,2024-10,2.5,0.41818181818181815,2,3-5 Tickets,High (50-75%),True
